CustomerID,CustomerName,Age,State,ZipCode,TransactionDate,TransactionAmount,TransactionsLast24H,FailedLogins,Channel,DeviceStatus,FraudLabel
C1001,John Smith,66.0,Georgia,31401,05/20/25,226.38,4,1,Online,New,0
C1002,Maria Garcia,20.0,TN,38103,2025-06-16,131.96,4,4,Online,Trusted,0
C1003,Hannah Martinez,47.0,CA,94105,Mar 29 2025,257.38,13,0,Mobile,New,0
C1004,Michael Thomas,25.0,tennessee,38103,01/12/25,541.63,2,2,ATM,Trusted,0
C1005,Linda Patel,,New York,10001,2025-06-30,121.63,9,2,ATM,Trusted,1
C1006,Sophia Taylor,24.0,Georgia,30303,Apr 4 2025,121.63,7,2,Branch,New,0
C1007,Grace Wilson,250.0,georgia,31401,02/13/25,568.12,11,5,Online,Trusted,1
C1008,Linda Martinez,29.0,NY,11201,2025-01-15,284.95,5,5,Mobile,New,1
C1009,Maria Thomas,44.0,,31401,May 8 2025,99.58,4,4,ATM,Trusted,0
C1010,Kevin Johnson,35.0,TN,37902,04/20/25,235.37,12,4,ATM,New,1
C1011,Ethan Jackson,42.0,Georgia,99999,2025-01-29,100.09,9,3,Online,New,1
C1012,Robert Davis,69.0,TX,75201,Apr 30 2025,99.9,10,0,Branch,Trusted,0
C1013,Linda Smith,62.0,Florida,33130,03/29/25,182.3,11,4,ATM,New,1
C1014,Aisha Taylor,46.0,tennessee,,2025-02-15,29.19,1,5,ATM,Unknown,1
C1015,Aisha Taylor,72.0,Texas,75201,May 16 2025,34.25,3,2,Mobile,Trusted,0
C1016,Rachel Thomas,50.0,Tennessee,37201,05/26/25,-125.5,6,2,Mobile,Trusted,0
C1017,David Clark,71.0,TN,38103,2025-02-12,62.75,3,5,Branch,Unknown,1
C1018,Rachel White,,Illinois,60601,Jun 16 2025,193.85,12,2,Branch,Unknown,0
C1019,Marcus Harris,26.0,Georgia,30303,02/28/25,68.59,2,2,Online,Trusted,0
C1020,John Brown,64.0,Texas,75201,2025-01-19,44.68,4,0,Online,New,0
